ID,category_big,category_medium,area,1 tsagiin tsalin 10'000 aas deesh,huwtsaslalt chuluutei,lucn baigaa,tsalin daily/weekly,suragch ajillaj bolno,bogino hugatsaagaar ajillaj bolno,7 honogt 3aas deesh ajilna,honogt 4uus deesh tsag ajilna,office iin ajil,daatgal tuldug,fashion,health/beauty,education,food,marketing/customer service,event,IT/creative,barilga,jolooch/hurgelt,ugaalga/tsewerlegee
11288,飲食・フード,ファストフード・デリ,Oosaka,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
11299,飲食・フード,ファストフード・デリ,Tokyo,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
11301,飲食・フード,ファストフード・デリ,Tokyo,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
11303,飲食・フード,ファストフード・デリ,Tokyo,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
11304,飲食・フード,ファストフード・デリ,Tokyo,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
11305,飲食・フード,ファストフード・デリ,Oosaka,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
11309,飲食・フード,居酒屋,Tokyo,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
11310,飲食・フード,居酒屋,Tokyo,0,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
11311,飲食・フード,居酒屋,Tokyo,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
11316,飲食・フード,居酒屋,Oosaka,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
11317,飲食・フード,居酒屋,Tokyo,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
11319,飲食・フード,居酒屋,Chiba,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
11320,飲食・フード,居酒屋,Saitama,1,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
11321,飲食・フード,居酒屋,Oosaka,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
11324,飲食・フード,居酒屋,Chiba,0,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
11325,飲食・フード,居酒屋,Aichi,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
